['  ', 'AL', 'AK', 'AZ', 'AR', 'CA', 'CO', 'CT', 'DE', 'FL', 'GA', 'HI', 'ID', 'IL', 'IN', 'IA', 'KS', 'KY', 'LA', 'ME', 'MD', 'MA', 'MI', 'MN', 'MS', 'MO', 'MT', 'NE', 'NV', 'NH', 'NJ', 'NM', 'NY', 'NC', 'ND', 'OH', 'OK', 'OR', 'PA', 'RI', 'SC', 'SD', 'TN', 'TX', 'UT', 'VT', 'VA', 'WA', 'WV', 'WI', 'WY']
['HI', 0.1354734531071253, 0.20401914934162427, 0.25450699469316795, 0.03041618270045582, 0.021969088313441937, 0.21106612022800664, 0.22040655725662783, 0.3313355249152489, 0.08214387521274252, 0.03184712019824314, 1, 0.07062858704100584, 0.07368317706890819, 0.23877074754007618, 0.09470613803331882, 0.010415703532678877, 0.478006426574715, 0.2015279933897011, 0.18226177011661485, 0.24635058162337467, 0.28983899719816236, 0.23768144140520298, 0.058984122645192344, 0.0018306204568531014, 0.23221006796781318, 0.040595734443959294, 0.16118636049838572, 0.29965866017774945, 0.5043232303998546, 0.10397895989833959, 0.540008131928789, 0.0187397080818182, 0.09356669967015531, 0.18793975447955874, 0.4497089552953125, 0.3228293069368967, 0.07536387282607505, 0.3661995064662659, 0.44164100695091973, 0.12555940986651437, 0.13366813621888304, 0.2997328161408588, 0.04835426809137902, 0.34464607702054245, 0.07404458631982862, 0.024468713784679116, 0.1026649872099765, 0, 0.1317484827347796, 0.2700298437860821]
['ID', 0.06484486606611947, 0.13339056230061844, 0.1838784076521621, 0.040212404340550026, 0.04865949872756391, 0.14043753318700078, 0.149777970215622, 0.2607069378742431, 0.011515288171736682, 0.0387814668427627, 0.07062858704100584, 1, 0.0030545900279023487, 0.16814216049907033, 0.16533472507432465, 0.060212883508326966, 0.4073778395337092, 0.13089940634869524, 0.111633183075609, 0.1757219945823688, 0.21921041015715653, 0.16705285436419712, 0.12961270968619817, 0.06879796658415274, 0.16158148092680732, 0.03003285259704655, 0.23181494753939158, 0.22903007313674362, 0.43369464335884883, 0.03335037285733375, 0.4693795448877832, 0.051888878959187645, 0.022938112629149472, 0.25856834152056457, 0.3790803682543067, 0.2522007198958909, 0.0047352857850692055, 0.2955709194252601, 0.37101241990991385, 0.05493082282550852, 0.20429672325988887, 0.22910422909985295, 0.11898285513238487, 0.27401748997953657, 0.003415999278822769, 0.04615987325632673, 0.03203640016897065, 0, 0.06111989569377376, 0.19940125674507622]
['IL', 0.061790276038217115, 0.1303359722727161, 0.18082381762425975, 0.04326699436845237, 0.05171408875546626, 0.13738294315909844, 0.14672338018771963, 0.2576523478463408, 0.008460698143834334, 0.04183605687066505, 0.07368317706890819, 0.0030545900279023487, 1, 0.16508757047116798, 0.16838931510222702, 0.06326747353622932, 0.40432324950580684, 0.1278448163207929, 0.10857859304770666, 0.17266740455446647, 0.2161558201292542, 0.16399826433629477, 0.13266729971410055, 0.07185255661205509, 0.15852689089890498, 0.0330874426249489, 0.23486953756729392, 0.22597548310884127, 0.43064005333094646, 0.0302957828294314, 0.46632495485988085, 0.054943468987089995, 0.019883522601247122, 0.26162293154846694, 0.3760257782264044, 0.24914612986798854, 0.0016806957571668568, 0.2925163293973577, 0.36795782988201153, 0.05187623279760617, 0.20735131328779122, 0.2260496390719506, 0.12203744516028721, 0.27096289995163425, 0.00036140925092042033, 0.04921446328422908, 0.028981810141068303, 0, 0.05806530566587142, 0.19634666671717385]
['IN', 0.10329729443295087, 0.034751598198451895, 0.01573624715309177, 0.20835456483962037, 0.21680165922663425, 0.027704627312069553, 0.018364190283448344, 0.09256477737517278, 0.15662687232733366, 0.20692362734183303, 0.23877074754007618, 0.16814216049907033, 0.16508757047116798, 1, 0.333476885573395, 0.2283550440073973, 0.23923567903463888, 0.03724275415037509, 0.05650897742346133, 0.007579834083298482, 0.05106824965808619, 0.0010893061348732096, 0.2977548701852685, 0.23694012708322307, 0.006560679572263005, 0.19817501309611688, 0.3999571080384619, 0.06088791263767329, 0.26555248285977845, 0.13479178764173658, 0.3012373843887129, 0.22003103945825797, 0.14520404786992086, 0.4267105020196349, 0.2109382077552364, 0.08405855939682055, 0.16340687471400112, 0.12742875892618977, 0.20287025941084352, 0.11321133767356181, 0.3724388837589592, 0.060962068600782626, 0.2871250156314552, 0.10587532948046625, 0.16472616122024755, 0.21430203375539705, 0.1361057603300997, 0, 0.10702226480529657, 0.031259096246005875]
['IA', 0.23017959114044412, 0.2987252873749431, 0.34921313272648674, 0.12512232073377463, 0.11667522634676075, 0.3057722582613254, 0.3151126952899466, 0.42604166294856777, 0.17685001324606134, 0.12655325823156194, 0.09470613803331882, 0.16533472507432465, 0.16838931510222702, 0.333476885573395, 1, 0.10512184156599769, 0.5727125646080339, 0.2962341314230199, 0.27696790814993366, 0.3410567196566935, 0.3845451352314812, 0.33238757943852176, 0.03572201538812647, 0.09653675849017192, 0.32691620600113197, 0.1353018724772781, 0.06648022246506692, 0.3943647982110683, 0.5990293684331734, 0.1986850979316584, 0.6347142699621079, 0.11344584611513701, 0.18827283770347414, 0.09323361644623994, 0.5444150933286314, 0.41753544497021555, 0.17007001085939386, 0.46090564449958477, 0.5363471449842385, 0.2202655478998332, 0.03896199818556423, 0.3944389541741776, 0.046351869941939794, 0.43935221505386124, 0.16875072435314742, 0.11917485181799793, 0.1973711252432953, 0, 0.2264546207680984, 0.36473598181940087]
['KS', 0.12505774957444643, 0.1936034458089454, 0.24409129116048908, 0.020000479167776943, 0.01155338478076306, 0.20065041669532774, 0.20999085372394896, 0.3209198213825701, 0.07172817168006365, 0.021431416665564265, 0.010415703532678877, 0.060212883508326966, 0.06326747353622932, 0.2283550440073973, 0.10512184156599769, 1, 0.4675907230420362, 0.19111228985702222, 0.17184606658393597, 0.23593487809069577, 0.2794232936654835, 0.22726573787252408, 0.06939982617787122, 0.008585083075825775, 0.22179436443513428, 0.030180030911280416, 0.17160206403106462, 0.2892429566450706, 0.4939075268671758, 0.09356325636566071, 0.5295924283961102, 0.008324004549139322, 0.08315099613747644, 0.1983554580122376, 0.43929325176263373, 0.31241360340421787, 0.06494816929339617, 0.3557838029335871, 0.43122530341824084, 0.11514370633383549, 0.14408383975156192, 0.28931711260817994, 0.05876997162405789, 0.33423037348786355, 0.06362888278714973, 0.01405301025200024, 0.09224928367729762, 0, 0.12133277920210073, 0.2596141402534032]
['KY', 0.3425329734675897, 0.27398727723309074, 0.22349943188154708, 0.4475902438742592, 0.45603733826127313, 0.2669403063467084, 0.2575998693180872, 0.14667090165946609, 0.3958625513619725, 0.4461593063764719, 0.478006426574715, 0.4073778395337092, 0.40432324950580684, 0.23923567903463888, 0.5727125646080339, 0.4675907230420362, 1, 0.27647843318501397, 0.2957446564581002, 0.2316558449513404, 0.18816742937655268, 0.2403249851695121, 0.5369905492199073, 0.4761758061178619, 0.24579635860690188, 0.43741069213075573, 0.6391927870731008, 0.1783477663969656, 0.026316803825139602, 0.37402746667637543, 0.06200170535407402, 0.45926671849289685, 0.38443972690455974, 0, 0.028297471279402492, 0.15517711963781833, 0.40264255374864, 0.11180692010844911, 0.03636541962379534, 0.35244701670820067, 0.6116745627935981, 0.17827361043385623, 0.526360694666094, 0.1333603495541726, 0.4039618402548864, 0.4535377127900359, 0.37534143936473857, 0.33405381894572617, 0.3462579438399354, 0.20797658278863299]
['LA', 0.06605454028257578, 0.0024911559519231923, 0.05297900130346686, 0.17111181068924528, 0.17955890507625916, 0.009538126838305537, 0.018878563866926747, 0.12980753152554786, 0.11938411817695856, 0.16968087319145794, 0.2015279933897011, 0.13089940634869524, 0.1278448163207929, 0.03724275415037509, 0.2962341314230199, 0.19111228985702222, 0.27647843318501397, 1, 0.01926622327308624, 0.04482258823367357, 0.08831100380846128, 0.03615344801550188, 0.26051211603489344, 0.19969737293284798, 0.030682074578112083, 0.16093225894574179, 0.3627143538880868, 0.09813066678804838, 0.30279523701015354, 0.0975490334913615, 0.338480138539088, 0.18278828530788288, 0.10796129371954577, 0.3894677478692598, 0.24818096190561148, 0.12130131354719564, 0.12616412056362603, 0.16467151307656483, 0.2401130135612186, 0.07596858352318672, 0.33519612960858414, 0.09820482275115772, 0.24988226148108011, 0.14311808363084136, 0.12748340706987246, 0.17705927960502196, 0.09886300617972459, 0, 0.06977951065492148, 0.06850185039638097]
['ME', 0.04678831700948954, 0.02175737922500943, 0.07224522457655311, 0.15184558741615903, 0.1602926818031729, 0.028804350111391777, 0.03814478714001299, 0.1490737547986341, 0.10011789490387232, 0.1504146499183717, 0.18226177011661485, 0.111633183075609, 0.10857859304770666, 0.05650897742346133, 0.27696790814993366, 0.17184606658393597, 0.2957446564581002, 0.01926622327308624, 1, 0.06408881150675981, 0.10757722708154752, 0.05541967128858812, 0.2412458927618072, 0.18043114965976173, 0.04994829785119832, 0.14166603567265557, 0.34344813061500057, 0.11739689006113462, 0.3220614602832398, 0.07828281021827525, 0.35774636181217423, 0.16352206203479663, 0.08869507044645954, 0.3702015245961736, 0.2674471851786977, 0.1405675368202819, 0.10689789729053979, 0.18393773634965108, 0.25937923683430486, 0.05670236025010048, 0.3159299063354979, 0.11747104602424396, 0.23061603820799387, 0.16238430690392758, 0.10821718379678623, 0.15779305633193574, 0.07959678290663835, 0, 0.05051328738183524, 0.0877680736694672]
['MD', 0.11087712851624935, 0.04233143228175038, 0.008156413069793289, 0.21593439892291882, 0.22438149330993273, 0.03528446139536803, 0.025944024366746823, 0.0849849432918743, 0.16420670641063212, 0.21450346142513152, 0.24635058162337467, 0.1757219945823688, 0.17266740455446647, 0.007579834083298482, 0.3410567196566935, 0.23593487809069577, 0.2316558449513404, 0.04482258823367357, 0.06408881150675981, 1, 0.04348841557478771, 0.008669140218171691, 0.305334704268567, 0.24451996116652155, 0.014140513655561487, 0.20575484717941536, 0.4075369421217604, 0.05330807855437481, 0.25797264877647996, 0.14237162172503506, 0.2936575503054144, 0.22761087354155646, 0.15278388195321935, 0.4342903361029334, 0.2033583736719379, 0.07647872531352207, 0.1709867087972996, 0.11984892484289127, 0.19529042532754504, 0.1207911717568603, 0.3800187178422577, 0.053382234517484146, 0.2947048497147537, 0.09829549539716778, 0.17230599530354604, 0.22188186783869554, 0.14368559441339818, 0, 0.11460209888859504, 0.023679262162707396]
